build,file,peak_velocity_mps,face_angle_deg,snapped,confidence,user_judgment,computed_distance_m,outcome,end_x_m,end_y_m,total_time_s
by-build,stroke-A-13-2026-05-31T08-45-53.925Z.json,0.1304,-9.28,False,1.0,late,2.25,stopped,2.22,0.363,2.667
by-build,stroke-A-14-2026-05-31T08-45-57.807Z.json,0.1486,-2.53,False,1.0,just_right,2.923,stopped,2.92,0.129,3.05
by-build,stroke-A-15-2026-05-31T08-46-02.326Z.json,0.1926,-11.33,False,1.0,just_right,4.919,stopped,4.824,0.966,3.983
by-build,stroke-A-16-2026-05-31T08-46-07.092Z.json,0.1788,-9.41,False,1.0,just_right,4.241,stopped,4.184,0.693,3.7
by-build,stroke-A-17-2026-05-31T08-46-11.142Z.json,0.14,-6.37,False,1.0,late,2.596,stopped,2.58,0.288,2.883
by-build,stroke-A-18-2026-05-31T08-46-14.993Z.json,0.1316,-7.88,False,1.0,late,2.293,stopped,2.272,0.314,2.7
by-build,stroke-A-19-2026-05-31T08-46-19.393Z.json,0.1602,-5.45,False,1.0,just_right,3.399,stopped,3.384,0.323,3.3
by-build,stroke-A-2-2026-05-31T08-44-57.756Z.json,0.0886,-9.01,False,1.0,late,1.036,stopped,1.023,0.162,1.8
by-build,stroke-A-20-2026-05-31T08-46-24.892Z.json,0.1855,-1.32,False,1.0,just_right,4.562,lipOut,4.561,0.105,3.833
by-build,stroke-A-3-2026-05-31T08-45-05.591Z.json,0.0979,-5.33,False,1.0,just_right,1.265,stopped,1.259,0.117,1.983
by-build,stroke-A-4-2026-05-31T08-45-10.323Z.json,0.1383,-4.0,False,1.0,just_right,2.532,stopped,2.526,0.177,2.833
by-build,stroke-A-5-2026-05-31T08-45-14.357Z.json,0.1151,-5.04,False,1.0,,1.752,stopped,1.746,0.154,2.35
by-build,stroke-A-6-2026-05-31T08-45-18.422Z.json,0.1216,-1.95,False,1.0,late,1.957,stopped,1.956,0.067,2.483
by-build,stroke-A-7-2026-05-31T08-45-27.057Z.json,0.1369,-5.56,False,1.0,just_right,2.48,stopped,2.468,0.24,2.817
by-build,stroke-A-8-2026-05-31T08-45-32.123Z.json,0.138,-4.6,False,1.0,late,2.522,stopped,2.514,0.202,2.833
by-build,stroke-A-9-2026-05-31T08-45-37.741Z.json,0.1004,-5.54,False,1.0,late,1.331,stopped,1.325,0.128,2.05
by-build,stroke-B-1-2026-05-31T08-46-31.378Z.json,0.1414,-6.53,False,1.0,just_right,2.647,stopped,2.63,0.301,2.9
by-build,stroke-cal-1-2026-05-31T08-44-07.538Z.json,0.1019,-4.93,False,1.0,just_right,1.369,stopped,1.364,0.118,2.067
by-build,stroke-cal-2-2026-05-31T08-44-14.871Z.json,0.0762,-5.68,False,1.0,late,0.765,stopped,0.761,0.076,1.533
by-build,stroke-cal-3-2026-05-31T08-44-21.190Z.json,0.0855,-4.6,False,1.0,late,0.963,stopped,0.96,0.077,1.733
by-build,stroke-cal-4-2026-05-31T08-44-25.755Z.json,0.136,-7.47,False,1.0,late,2.448,stopped,2.427,0.318,2.8
by-build,stroke-cal-5-2026-05-31T08-44-34.104Z.json,0.1373,-8.81,False,1.0,late,2.497,stopped,2.467,0.383,2.817
by-build,stroke-A-1-2026-05-31T20-15-33.373Z.json,0.152,-5.16,False,1.0,just_right,3.062,stopped,3.049,0.275,3.133
by-build,stroke-A-10-2026-05-31T20-16-31.781Z.json,0.1887,-10.26,False,1.0,late,4.724,stopped,4.648,0.841,3.9
by-build,stroke-A-11-2026-05-31T20-16-39.326Z.json,0.1627,-5.9,False,1.0,just_right,3.506,stopped,3.488,0.36,3.35
by-build,stroke-A-12-2026-05-31T20-16-43.892Z.json,0.1335,-5.86,False,1.0,just_right,2.359,stopped,2.347,0.241,2.733
by-build,stroke-A-13-2026-05-31T20-16-53.128Z.json,0.1396,-2.32,False,1.0,just_right,2.581,stopped,2.579,0.105,2.867
